No,Time,Unit,Unit Fit
1,3:41:46,26.2,-2.206597882137764
2,3:41:55,25.9,-1.938088713979372
4,3:42:06,26.2,-1.6694939276316667
5,3:42:16,25.9,-1.4008572223402425
6,3:42:26,26.2,-1.1322223246391765
7,3:42:37,25.9,-0.8636329598857166
8,3:42:47,26.2,-0.595132823796547
39,3:43:16,26.4,-0.3267655540251404
41,3:43:28,26.2,-0.05857470181924995
42,3:43:37,26.4,0.20939629620216138
44,3:43:49,26.7,0.4771041461138985
61,3:44:09,26.9,0.7445057245529902
75,3:44:28,27.2,1.011558106352581
76,3:44:38,27.4,1.2782185919039364
79,3:44:49,27.7,1.5444447342098044
85,3:45:02,27.9,1.8101943655929773
88,3:45:13,27.2,2.0754256240249873
89,3:45:23,28.1,2.340096979040439
90,3:45:33,28.4,2.604167257203599
91,3:45:43,28.6,2.86759566709501
92,3:45:53,28.9,3.1303418237866225
93,3:46:03,29.1,3.3923657727756336
94,3:46:13,29.4,3.6536280133478414
96,3:46:24,29.6,3.914089521343172
97,3:46:34,29.9,4.1737117712970075
98,3:46:44,30.1,4.4324567579323855
99,3:46:54,30.4,4.690287016979681
100,3:47:04,30.6,4.947165645301787
103,3:47:15,30.9,5.203056320304199
106,3:47:26,31.1,5.457923318611144
108,3:47:37,31.3,5.711731533990182
113,3:47:50,31.6,5.964446494509609
117,3:48:01,31.8,6.216034378914188
122,3:48:14,32.1,6.466462032206671
125,3:48:26,32.3,6.715696980423921
127,3:48:36,32.6,6.963707444598263
131,3:48:48,32.8,7.210462353896034
135,3:48:59,33.1,7.455931357927092
141,3:49:13,33.3,7.700084838220533
143,3:49:23,33.5,7.942893918863483
148,3:49:36,33.8,8.184330476301177
152,3:49:48,34.0,8.42436714829828
159,3:50:01,34.3,8.662977342062767
163,3:50:13,34.5,8.900135241535082
166,3:50:25,34.8,9.135815813846847
174,3:50:39,35.0,9.369994814954595
179,3:50:51,35.3,9.602648794455398
184,3:51:03,35.5,9.833755099592665
188,3:51:15,35.7,10.063291878461364
197,3:51:30,36.0,10.291238082423348
200,3:51:41,36.2,10.517573467744548
214,3:51:59,36.5,10.742278596466633
217,3:52:10,36.7,10.965334836527227
226,3:52:25,37.0,11.186724361143341
230,3:52:37,37.2,11.40643014747372
240,3:52:52,37.5,11.62443597457677
247,3:53:06,37.7,11.840726420681392
258,3:53:22,37.9,12.055286859788765
259,3:53:32,38.2,12.268103457624001
265,3:53:45,37.9,12.479163166957015
266,3:53:55,38.4,12.688453722312545
272,3:54:08,38.7,12.895963634089824
274,3:54:19,38.9,13.101682182112896
280,3:54:32,39.2,13.305599408632716
285,3:54:45,39.4,13.507706110802886
290,3:54:58,39.2,13.707993832650686
291,3:55:08,39.4,13.906454856565787
292,3:55:18,39.7,14.103082194328685
293,3:55:28,39.9,14.297869577701519
295,3:55:39,40.1,14.490811448603509
297,3:55:49,40.4,14.681902948893736
298,3:55:58,43.1,14.871139909783487
307,3:56:14,42.8,15.058518840900803
308,3:56:23,42.6,15.244036919029256
314,3:56:37,42.3,15.427691976543215
315,3:56:46,42.6,15.609482489561515
316,3:56:57,42.3,15.789407565841032
343,3:57:24,42.1,15.967466932431812
344,3:57:34,42.3,16.14366092311456
345,3:57:43,42.1,16.317990465641586
346,3:57:53,42.3,16.490457068801234
349,3:58:05,42.6,16.661062809325998
371,3:58:28,43.1,16.829810318663988
372,3:58:39,45.0,16.996702769632627
373,3:58:49,45.3,17.16174386297343
374,3:58:59,45.0,17.32493781382611
375,3:59:09,44.8,17.486289338139464
376,3:59:18,44.5,17.64580363903655
387,3:59:36,44.3,17.80348639315057
388,3:59:45,44.5,17.959343736947638
398,4:00:02,44.8,18.113382253052087
399,4:00:12,46.5,18.26560895658932
400,4:00:22,46.0,18.416031281560514
401,4:00:32,45.7,18.564657067263305
402,4:00:42,45.5,18.711494544771625
404,4:00:53,45.3,18.85655232348749
405,4:01:03,45.5,18.999839377776958
406,4:01:13,45.3,19.141365033701796
438,4:01:44,45.5,19.28113895585802
439,4:01:53,45.3,19.419171134331698
440,4:02:03,47.7,19.555471871782018
443,4:02:15,47.4,19.690051770660887
444,4:02:24,47.2,19.82292172057806
451,4:02:38,47.0,19.954092885819946
460,4:02:54,46.7,20.08357669302989
485,4:03:19,46.5,20.211384819057187
490,4:03:32,46.7,20.33752917898161
491,4:03:41,46.5,20.46202191431948
503,4:03:58,46.7,20.58487538141732
505,4:04:09,46.5,20.70610214003804
508,4:04:19,46.7,20.82571494214463
514,4:04:33,47.0,20.943726720885707
515,4:04:42,49.1,21.06015057978668
516,4:04:52,48.9,21.174999782150117
517,4:05:02,49.4,21.288287740668352
518,4:05:12,49.1,21.400028007250924
519,4:05:23,48.9,21.510234263069172
520,4:05:33,48.7,21.61892030881991
521,4:05:42,48.4,21.726100055209578
524,4:05:54,48.2,21.831787513660224
550,4:06:20,47.9,21.935996787238082
554,4:06:31,48.2,22.038742061805287
555,4:06:41,48.4,22.140037597394986
556,4:06:51,50.1,22.239897719809782
557,4:07:01,49.9,22.338336812443217
558,4:07:11,49.6,22.435369308323594
559,4:07:21,49.4,22.531009682379462
560,4:07:31,49.1,22.625272443925482
561,4:07:41,48.9,22.718172129367602
595,4:08:13,48.7,22.809723295125792
604,4:08:28,48.9,22.899940510772836
606,4:08:39,48.7,22.988838352387127
608,4:08:49,48.9,23.07643139611745
613,4:09:01,48.7,23.162734211957577
614,4:09:11,48.9,23.247761357728187
618,4:09:23,48.7,23.331527373263583
619,4:09:32,48.9,23.41404677480068
620,4:09:42,50.8,23.495334049567262
621,4:09:53,51.1,23.575403650566926
622,4:10:02,50.8,23.65426999155732
623,4:10:12,50.6,23.73194744221898
624,4:10:22,51.1,23.80845032351135
625,4:10:32,51.3,23.883792903212914
626,4:10:42,51.1,23.95798939164193
627,4:10:53,50.6,24.031053937554624
628,4:11:03,50.4,24.10300062421731
632,4:11:14,50.1,24.173843465649
633,4:11:24,49.9,24.243596403031013
634,4:11:34,50.1,24.312273301280108
637,4:11:46,49.9,24.379887945781547
639,4:11:56,50.1,24.446454039278507
642,4:12:07,49.9,24.511985198914374
644,4:12:17,50.1,24.5764949534243
645,4:12:26,52.1,24.639996740472313
646,4:12:37,51.8,24.702503904130666
649,4:12:48,51.6,24.764029692497672
650,4:12:58,51.3,24.824587255450503
651,4:13:08,51.1,24.884189642529478
652,4:13:18,50.8,24.942849800950327
653,4:13:28,50.6,25.00058057374094
654,4:13:38,50.4,25.05739469799901
655,4:13:48,50.6,25.11330480326741
663,4:14:03,50.8,25.16832341002376
664,4:14:13,50.6,25.222462928280727
668,4:14:25,50.8,25.275735656293946
669,4:14:35,52.1,25.328153779374233
670,4:14:45,52.5,25.379729368800724
672,4:14:55,52.3,25.430474380832003
674,4:15:05,52.1,25.480400655811778
675,4:15:15,51.8,25.52951991736633
676,4:15:25,51.6,25.577843771690503
677,4:15:35,51.3,25.62538370691923
678,4:15:45,51.1,25.672151092581856
681,4:15:56,51.3,25.718157179136092
682,4:16:06,51.1,25.763413097579118
685,4:16:17,51.3,25.807929859132706
687,4:16:28,51.1,25.85171835499991
688,4:16:37,51.3,25.894789356190564
692,4:16:50,51.1,25.93715351341298
693,4:17:00,51.3,25.97882135702929
718,4:17:25,51.6,26.019803297071988
719,4:17:35,53.3,26.06010962331922
730,4:17:52,53.0,26.09975050542637
734,4:18:05,52.8,26.13873599311178
735,4:18:15,52.5,26.17707601639416
736,4:18:25,52.3,26.21478038587962
737,4:18:35,52.1,26.25185879309604
738,4:18:44,51.8,26.28832081087282
748,4:19:00,52.1,26.324175893763886
749,4:19:10,51.8,26.359433378511945
752,4:19:21,52.1,26.39410248455207
753,4:19:31,51.8,26.428192314552838
757,4:19:43,52.1,26.461711854992927
764,4:19:57,51.8,26.49466997677176
765,4:20:07,52.1,26.527075435852154
773,4:20:21,51.8,26.558936873933426
774,4:20:31,52.1,26.59026281915333
777,4:20:43,51.8,26.621061686817328
778,4:20:52,52.1,26.651341780153366
780,4:21:02,51.8,26.681111291091177
781,4:21:12,52.1,26.71037830106407
821,4:21:48,52.3,26.7391507818324
822,4:21:58,52.8,26.767436596326924
823,4:22:08,53.8,26.795243499510995
824,4:22:18,53.5,26.822579139260256
825,4:22:28,54.2,26.849451057258634
826,4:22:38,54.0,26.875866689909394
829,4:22:49,54.2,26.901833369260267
830,4:22:59,54.0,26.927358323941426
831,4:23:09,53.8,26.952448680115275
832,4:23:19,53.3,26.97711146243708
836,4:23:32,53.0,27.001353595025428
837,4:23:41,52.8,27.025181902441638
854,4:24:02,53.3,27.04860311067702
855,4:24:11,54.2,27.071623848147418
868,4:24:30,54.0,27.09425064669388
869,4:24:40,54.2,27.116489942588828
870,4:24:49,54.0,27.138348077547
871,4:24:59,53.8,27.159831299740162
873,4:25:10,53.5,27.180945764815178
874,4:25:20,53.3,27.201697536914523
875,4:25:30,53.0,27.222092589698796
876,4:25:40,52.8,27.242136807370272
903,4:26:07,52.5,27.26183598569728
904,4:26:17,52.8,27.28119583303861
911,4:26:30,52.5,27.300221971367314
912,4:26:41,52.8,27.318919937293614
918,4:26:54,52.5,27.337295183086205
923,4:27:07,52.8,27.355353077691674
924,4:27:17,52.5,27.373098907751235
932,4:27:32,52.8,27.39053787861483
933,4:27:42,52.5,27.407675115351708
934,4:27:52,52.8,27.424515663757404
935,4:28:02,52.5,27.441064491356585
936,4:28:12,52.8,27.45732648840145
941,4:28:25,52.5,27.47330646886541
944,4:28:35,52.8,27.48900917143154
1019,4:29:34,53.0,27.504439260475827
1021,4:29:44,52.8,27.519601327044477
1022,4:29:53,53.0,27.53449988982547
1023,4:30:04,52.8,27.549139396113794
1024,4:30:13,53.0,27.56352422277027
1029,4:30:26,52.8,27.577658677173645
1030,4:30:35,53.0,27.59154699816586
1100,4:31:31,53.3,27.60519335699017
1101,4:31:42,53.0,27.618601858222
1106,4:31:54,53.3,27.63177654069242
1107,4:32:05,53.0,27.644721378403936
1108,4:32:15,53.3,27.65744028143854
1134,4:32:41,53.0,27.669937096857893
1135,4:32:51,53.3,27.68221560959551
1138,4:33:02,53.0,27.69427954334074
1139,4:33:12,53.3,27.7061325614146
1155,4:33:32,53.5,27.717778267637136
1156,4:33:42,53.3,27.729220207186565
1165,4:33:57,53.5,27.740461867449653
1166,4:34:07,53.3,27.751506678863784
