No,Time,Unit
1,3:41:46,0026.2
2,3:41:55,0025.9
4,3:42:06,0026.2
5,3:42:16,0025.9
6,3:42:26,0026.2
7,3:42:37,0025.9
8,3:42:47,0026.2
39,3:43:16,0026.4
41,3:43:28,0026.2
42,3:43:37,0026.4
44,3:43:49,0026.7
61,3:44:09,0026.9
75,3:44:28,0027.2
76,3:44:38,0027.4
79,3:44:49,0027.7
85,3:45:02,0027.9
88,3:45:13,0027.2
89,3:45:23,0028.1
90,3:45:33,0028.4
91,3:45:43,0028.6
92,3:45:53,0028.9
93,3:46:03,0029.1
94,3:46:13,0029.4
96,3:46:24,0029.6
97,3:46:34,0029.9
98,3:46:44,0030.1
99,3:46:54,0030.4
100,3:47:04,0030.6
103,3:47:15,0030.9
106,3:47:26,0031.1
108,3:47:37,0031.3
113,3:47:50,0031.6
117,3:48:01,0031.8
122,3:48:14,0032.1
125,3:48:26,0032.3
127,3:48:36,0032.6
131,3:48:48,0032.8
135,3:48:59,0033.1
141,3:49:13,0033.3
143,3:49:23,0033.5
148,3:49:36,0033.8
152,3:49:48,0034.0
159,3:50:01,0034.3
163,3:50:13,0034.5
166,3:50:25,0034.8
174,3:50:39,0035.0
179,3:50:51,0035.3
184,3:51:03,0035.5
188,3:51:15,0035.7
197,3:51:30,0036.0
200,3:51:41,0036.2
214,3:51:59,0036.5
217,3:52:10,0036.7
226,3:52:25,0037.0
230,3:52:37,0037.2
240,3:52:52,0037.5
247,3:53:06,0037.7
258,3:53:22,0037.9
259,3:53:32,0038.2
265,3:53:45,0037.9
266,3:53:55,0038.4
272,3:54:08,0038.7
274,3:54:19,0038.9
280,3:54:32,0039.2
285,3:54:45,0039.4
290,3:54:58,0039.2
291,3:55:08,0039.4
292,3:55:18,0039.7
293,3:55:28,0039.9
295,3:55:39,0040.1
297,3:55:49,0040.4
298,3:55:58,0043.1
307,3:56:14,0042.8
308,3:56:23,0042.6
314,3:56:37,0042.3
315,3:56:46,0042.6
316,3:56:57,0042.3
343,3:57:24,0042.1
344,3:57:34,0042.3
345,3:57:43,0042.1
346,3:57:53,0042.3
349,3:58:05,0042.6
371,3:58:28,0043.1
372,3:58:39,0045.0
373,3:58:49,0045.3
374,3:58:59,0045.0
375,3:59:09,0044.8
376,3:59:18,0044.5
387,3:59:36,0044.3
388,3:59:45,0044.5
398,4:00:02,0044.8
399,4:00:12,0046.5
400,4:00:22,0046.0
401,4:00:32,0045.7
402,4:00:42,0045.5
404,4:00:53,0045.3
405,4:01:03,0045.5
406,4:01:13,0045.3
438,4:01:44,0045.5
439,4:01:53,0045.3
440,4:02:03,0047.7
443,4:02:15,0047.4
444,4:02:24,0047.2
451,4:02:38,0047.0
460,4:02:54,0046.7
485,4:03:19,0046.5
490,4:03:32,0046.7
491,4:03:41,0046.5
503,4:03:58,0046.7
505,4:04:09,0046.5
508,4:04:19,0046.7
514,4:04:33,0047.0
515,4:04:42,0049.1
516,4:04:52,0048.9
517,4:05:02,0049.4
518,4:05:12,0049.1
519,4:05:23,0048.9
520,4:05:33,0048.7
521,4:05:42,0048.4
524,4:05:54,0048.2
550,4:06:20,0047.9
554,4:06:31,0048.2
555,4:06:41,0048.4
556,4:06:51,0050.1
557,4:07:01,0049.9
558,4:07:11,0049.6
559,4:07:21,0049.4
560,4:07:31,0049.1
561,4:07:41,0048.9
595,4:08:13,0048.7
604,4:08:28,0048.9
606,4:08:39,0048.7
608,4:08:49,0048.9
613,4:09:01,0048.7
614,4:09:11,0048.9
618,4:09:23,0048.7
619,4:09:32,0048.9
620,4:09:42,0050.8
621,4:09:53,0051.1
622,4:10:02,0050.8
623,4:10:12,0050.6
624,4:10:22,0051.1
625,4:10:32,0051.3
626,4:10:42,0051.1
627,4:10:53,0050.6
628,4:11:03,0050.4
632,4:11:14,0050.1
633,4:11:24,0049.9
634,4:11:34,0050.1
637,4:11:46,0049.9
639,4:11:56,0050.1
642,4:12:07,0049.9
644,4:12:17,0050.1
645,4:12:26,0052.1
646,4:12:37,0051.8
649,4:12:48,0051.6
650,4:12:58,0051.3
651,4:13:08,0051.1
652,4:13:18,0050.8
653,4:13:28,0050.6
654,4:13:38,0050.4
655,4:13:48,0050.6
663,4:14:03,0050.8
664,4:14:13,0050.6
668,4:14:25,0050.8
669,4:14:35,0052.1
670,4:14:45,0052.5
672,4:14:55,0052.3
674,4:15:05,0052.1
675,4:15:15,0051.8
676,4:15:25,0051.6
677,4:15:35,0051.3
678,4:15:45,0051.1
681,4:15:56,0051.3
